gvkey,cnms,ctype,salecs,srcdate,conm,tic,cusip,CIK,sic,Symbol,GICS Sector,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1440,Retail-Other,MARKET,179.4,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Wholesale-Off-System,MARKET,93.0,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Transmission Revenues,MARKET,265.1,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Provision for Rate Refund,MARKET,-44.7,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Other,MARKET,31.6,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Other Electric,MARKET,58.6,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Commercial,MARKET,2151.1,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-PJM Net Charges,MARKET,-0.2,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Residential,MARKET,2084.5,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Provision for Rate Refund,MARKET,12.5,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Residential,MARKET,3641.2,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Industrial,MARKET,2178.3,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1447,Outside the United States,GEOREG,10889.0,2019-12-31,AMERICAN EXPRESS CO,AXP,025816109,4962.0,6141,AXP,Financials,2019,85206.0,198321.0,1688.0,36250.0,7.99,10770.0,0.0,6759.0,146418.0,47020.0,,,,,,,,,,
1598,4 Customers,COMPANY,99.686,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,United Kingdom,GEOREG,132.485,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,Other foreign countries,GEOREG,126.056,2019-12-31,AMETEK INC,AME,031100100,1037868.0,3823,AME,Industrials,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
