ctype,GICS Sector,srcdate,salecs
MARKET,Information Technology,2020-06-30,1.9823037568949067
MARKET,Information Technology,2020-08-31,2.6151079292493664
MARKET,Information Technology,2020-09-30,12.339458988656258
MARKET,Information Technology,2020-10-31,1.0558772176823843
MARKET,Information Technology,2020-12-31,3.358731410622908
MARKET,Information Technology,2021-01-31,0.848738747115761
MARKET,Information Technology,2021-03-31,0.22554070784418356
MARKET,Information Technology,2021-04-30,0.1834251776092017
MARKET,Information Technology,2021-06-30,2.1942837799136945
MARKET,Information Technology,2021-08-31,3.0525603973870674
MARKET,Information Technology,2021-09-30,16.57272009792501
MARKET,Information Technology,2021-10-31,1.4152725865735463
MARKET,Information Technology,2021-12-31,4.010571883928477
MARKET,Information Technology,2022-01-31,1.2980866379461025
MARKET,Information Technology,2022-03-31,0.2828755910073536
MARKET,Information Technology,2022-04-30,0.20175492202906273
MARKET,Information Technology,2022-06-30,2.4610262679163797
MARKET,Information Technology,2022-08-31,3.6083502810824295
MARKET,Information Technology,2022-09-30,17.84333874419249
MARKET,Information Technology,2022-10-31,1.992375204544943
MARKET,Materials,2019-06-30,2.2121084968522826
MARKET,Materials,2019-09-30,6.820493890660881
MARKET,Materials,2019-12-31,21.794089129613702
MARKET,Materials,2020-09-30,6.77262218926773
MARKET,Materials,2020-12-31,21.018965223350165
MARKET,Materials,2021-09-30,7.89424238788329
MARKET,Materials,2021-12-31,23.7765587572751
MARKET,Materials,2022-09-30,9.710919925096846
MARKET,Real Estate,2019-12-31,43.03219424073636
MARKET,Real Estate,2020-12-31,23.13198133293189
MARKET,Real Estate,2021-12-31,33.83582442633175
MARKET,Utilities,2019-12-31,32.65745393967908
MARKET,Utilities,2020-12-31,32.00620523225412
MARKET,Utilities,2021-12-31,35.3363408280668
