gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
1613,2019,-68.662,33.271,506.56,10.964,10.964,326.157,-0.95,71.747,-11.901,82.289,-20.986,21.82,97.783,397.904
1613,2020,-68.695,26.678,463.208,8.466,8.466,258.282,0.54,70.262,7.97,73.243,7.97,24.72,76.366,328.544
1613,2021,-55.106,44.23,485.632,15.236,15.236,287.639,-0.67,57.281,-12.695,88.198,-12.695,12.883,84.829,344.92
1613,2022,-58.412,43.621,502.774,16.688,16.688,328.407,0.18,61.782,3.416,121.739,3.416,17.235,93.492,390.189
1618,2018,-7.031,1.257,100.53,0.008,0.008,11.159,-0.3,1.672,-2.465,57.773,1.527,-2.542,0.283,12.831
1618,2019,-6.467,1.49,96.666,0.009,0.009,15.227,-0.73,3.556,-5.903,53.449,-5.903,0.553,0.057,18.783
1618,2020,-4.623,2.031,97.366,0.005,0.005,25.048,0.95,15.021,7.392,55.589,7.392,9.601,0.037,40.069
1618,2021,-4.573,3.482,94.917,1.287,1.287,35.597,2.21,26.882,15.862,67.249,15.862,21.528,0.05,62.479
1632,2018,-58.44,260.919,20449.779,254.876,254.876,1597.479,3.97,4603.463,1495.432,586.76,1495.432,2767.715,639.717,6200.942
1632,2019,-187.799,225.27,21392.641,275.372,275.372,1595.105,3.65,4395.96,1363.011,609.886,1363.011,2617.518,635.136,5991.065
1632,2020,-249.461,227.273,21468.603,165.692,165.692,1531.11,3.28,4071.946,1220.761,608.26,1220.761,2421.602,737.536,5603.056
1632,2021,-186.565,443.434,52322.071,343.676,343.676,2255.451,3.46,5062.835,1390.422,1200.61,1390.422,2964.15,1459.056,7318.286
1632,2022,-198.152,582.16,50302.35,699.308,699.308,2925.156,5.25,9088.797,2748.561,1399.914,2748.561,6156.07,1800.462,12013.953
1659,2018,-6.387,462.535,2392.003,309.584,309.584,2653.08,1.46,392.302,41.484,690.804,41.484,140.948,207.285,3045.382
1659,2019,-7.231,873.081,3900.741,270.477,270.477,7506.133,0.55,664.058,18.307,1170.536,18.307,236.553,536.367,8170.191
1659,2020,-12.076,957.683,4272.121,104.886,104.886,7614.876,0.23,593.56,7.71,1300.693,7.71,204.65,659.834,8208.436
1659,2021,1.194,1199.324,4569.219,75.766,75.766,11840.419,2.94,771.631,99.662,1814.538,103.986,347.879,835.18,12612.05
1659,2022,20.484,1423.633,4607.996,108.284,108.284,16490.485,3.46,834.899,119.055,1731.725,131.08,377.343,1248.878,17325.384
1661,2018,-29.325,392.843,7853.944,458.938,458.938,1976.974,-1.95,1080.645,-626.285,165.587,-640.948,748.737,756.32,3057.619
1661,2019,-11.788,295.159,6760.658,427.741,427.741,1929.331,-2.11,1114.052,-702.873,176.341,-702.885,799.736,453.042,3043.383
1661,2020,-11.124,220.922,5503.428,195.523,195.523,1333.072,-118.69,800.971,-805.648,160.585,-805.641,559.643,362.977,2134.043
1661,2021,-10.634,253.748,5525.364,234.04,234.04,1286.895,-76.58,730.653,-569.292,126.448,-569.272,473.651,287.572,2017.548
1661,2022,-11.038,314.041,4729.854,373.445,373.445,1666.004,-40.52,987.762,-350.261,127.947,-350.261,694.232,327.397,2653.766
1678,2018,4,709,21582,3904,3904,2390,0.11,4941,40,401,40,4221,1194,7331
1678,2019,16,695,18107,2961,2961,4760,-9.43,1520,-3553,502,-3553,928,1062,6280
1678,2020,14,444,12746,1302,1302,6282,-12.86,-2070,-4860,492,-4860,-2533,908,4212
1678,2021,22,731,13303,1113,1113,3337,2.59,4742,973,473,973,4242,1394,8079
1678,2022,14,771,13147,2398,2398,3855,11.02,7106,3674,427,3674,6342,1466,10961
1686,2018,-32.127,72.219,1068.168,60.717,60.717,1071.972,1.63,330.665,45.694,165.835,45.694,106.525,160.371,1402.637
1686,2019,-34.062,69.056,1128.991,51.428,51.428,1032.38,2.32,355.059,61.914,182.012,61.914,123.948,159.465,1387.439
1686,2020,-28.027,76.204,1015.099,26.165,26.165,905.903,0.59,324.871,15.436,147.487,15.436,118.585,130.75,1230.774
1686,2021,-26.24,92.104,887.863,21.841,21.841,988.86,0.14,325.117,3.486,139.679,3.486,119.874,139.81,1313.977
1690,2018,-3454,55888,365725,13313,13313,154456,11.91,110903,59531,3956,59531,79962,48995,265359
1690,2019,-584,46236,338516,10495,10495,150482,11.89,109692,55256,4106,55256,75230,45804,260174
1690,2020,-406,42296,323888,7309,7309,159859,3.28,114656,57411,4061,57411,75988,37445,274515
1690,2021,163,54763,351002,11085,11085,203481,5.61,162336,94680,6580,94680,118449,51506,365817
1690,2022,-11109,64115,352755,10708,10708,214846,6.11,179482,99803,4946,99803,128137,60932,394328
1704,2018,-125,996,17773,622,622,8998,3.23,8255,3313,3722,3313,5258,2565,17253
1704,2019,-180,958,19024,441,441,7859,2.86,6749,2706,3474,2706,3735,2641,14608
1704,2020,-299,1124,22353,422,422,9130,3.92,8072,3619,3904,3619,4851,3111,17202
1704,2021,-260,1472,25825,668,668,11763,6.4,11300,5888,4309,5888,7663,5154,23063
1704,2022,-202,1755,26726,787,787,13361,7.44,12424,6525,5932,6525,8266,6241,25785
