gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
034937,2022,-9.727,382.363,537.424,.103,,1.747,-.1,15.751,-.5649999999999999,0,-.5649999999999999,3.858,398.924,17.498
034938,2019,-.661,617.2190000000001,986.042,.96,,13.756,-1.15,31.661,-14.084,0,-14.084,14.941,687.258,45.417
034938,2020,3.709,693.045,1084.193,1.88,,13.163,.82,36.504,10.018,.032,10.018,19.77,736.4,49.667
034938,2021,-1.212,900.175,1267.64,.579,,9.112,.96,42.23,11.145,.584,11.145,21.543,832.846,51.342
034938,2022,-49.751,1005.261,1328.62,.385,,10.819,1.17,45.906,12.965,.531,12.965,24.734,961.691,56.725
034939,2020,-17.37,1276.194,1526.412,1.703,,27.321,-.26,41.88,-6.509,.26,-6.509,10.758,1148.399,69.20099999999999
034939,2021,-5.125,1536.707,1796.252,.596,,6.16,.04,53.517,1.077,.365,1.077,20.706,1081.799,59.677
034939,2022,-11.18,1685.869,1964.229,.78,,.914,.41,57.002,10.279,0,10.279,23.879,982.566,57.916
034941,2019,-2.558,7.793,600.792,85.173,85.173,130.447,.07,190.649,6.236,1.1,6.236,154.495,49.359,321.096
034941,2020,-2.434,10.644,534.237,12.558,12.558,118.028,-.29,107.12,-27.478,.9,-27.478,69.971,29.388,225.148
034941,2021,-2.462,11.803,513.3920000000001,35.915,35.915,136.582,-.05,154.755,-4.576,1.6,-4.576,109.492,28.78,291.337
034941,2022,-2.574,17.563,771.727,140.843,140.843,201.856,.74,300.129,73.93899999999999,2,73.93899999999999,242.519,42.153,501.985
034942,2019,0,1.198,14.491,0,0,0,-1.44,0,-6.999,0,-6.999,-15.411,0,0
034942,2020,0,1.415,30.89,0,0,0,-.89,0,-14.847,0,-14.847,-14.886,0,0
034942,2021,0,1.309,67.19799999999999,0,0,0,-.66,0,-16.918,0,-16.918,-21.434,0,0
034942,2022,0,1.219,77.008,0,0,0,-1.43,0,-40.855,0,-40.855,-41.672,0,0
034945,2019,-27.217,36.863,242.467,2.044,2.044,85.79900000000001,-.65,74.526,-18.369,27.593,-18.369,39.79,59.235,160.325
034945,2020,-35.798,53.759,297.561,2.91,2.91,92.15600000000001,.09,80.21899999999999,3.359,30.304,3.359,40.193,73.547,172.375
034945,2021,-27.369,69.253,394.59,6.713,6.713,117.209,-.18,89.491,-6.87,63.353,-6.87,43.177,99.045,206.7
034945,2022,1.976,124.406,518.22,8.609,8.609,206.693,-.17,121.763,-7.2,126.102,-7.2,45.821,127.424,328.456
034946,2019,0,.086,293.707,0,0,0,.12,0,4.227,0,4.227,-.327,0,0
034946,2020,0,.917,294.176,0,0,0,-.03,0,-1.131,0,-1.131,-2.392,0,0
034953,2019,4.686,24.938,395.462,.115,.115,66.11199999999999,.46,47.184,10.621,0,10.621,47.184,54.878,113.296
034953,2020,13.246,39.951,729.092,.132,.132,160.904,.24,7.559,6.257,0,6.257,7.559,156.115,168.463
034953,2021,5.312,56.557,925.734,.018,.018,187.013,1.76,60.778,45.847,0,45.847,60.778,248.052,247.791
034953,2022,-36.515,171.887,1306.45,.313,.313,254.547,2.02,72.539,52.17,0,52.17,72.539,360.248,327.086
034954,2019,-7.372,68.169,10107.38,13.002,13.002,87.75,-6.35,109.042,-947.597,0,-947.597,57.59,873.2809999999999,196.792
034954,2020,11.221,57.449,10112.616,246.381,246.381,1530.282,-.35,1560.139,-112.21,0,-112.21,687.133,865.47,3090.421
034954,2021,35.116,104.273,9932.495000000001,276.276,276.276,1631.37,-.18,1849.445,-57.39,0,-57.39,863.764,882.95,3480.815
034955,2019,.137,6.434,435.398,5.174,5.174,22.242,-.67,144.109,-50.339,0,-50.339,-53.222,37.128,166.351
034955,2020,.343,5.747,795.443,4.848,4.848,25.416,-.87,188.14,-68.90300000000001,0,-68.90300000000001,-49.275,55.119,213.556
034955,2021,-.669,9.505000000000001,806.448,6.81,6.81,40.005,-1.27,241.391,-107.455,0,-107.455,-91.247,75.279,281.396
034955,2022,-1.592,7.398,817.873,8.473000000000001,8.473000000000001,52.648,-1.45,318.145,-128.423,0,-128.423,-102.354,91.345,370.793
034956,2019,0,44.062,2128.382,14.385,14.385,381.948,-.25,197.836,-9.305999999999999,32.071,-9.305999999999999,168.385,81.202,579.784
034956,2020,-1.149,25.817,1961.843,13.333,13.333,356.984,.58,238.926,23.317,17.457,23.317,208.921,40.777,595.91
034962,2019,0,.122,57.84,0,0,0,-.06,0,-.377,0,-.377,-.465,0,0
034962,2020,0,.472,59.325,0,0,0,-.11,0,-.844,0,-.844,-1.352,0,0
034963,2019,0,.215,153.719,0,0,0,.06,0,1.326,0,1.326,-.765,0,0
034965,2019,-10.415,39.337,333.492,6.349,6.349,94.831,-3.33,87.34099999999999,-254.386,11.217,-254.386,-244.374,23.229,182.172
034965,2020,-12.335,37.058,429.022,2.407,2.407,56.392,-2.41,115.917,-193.98,8.08,-193.98,-170.074,16.638,172.309
034965,2021,-11.614,49.616,578.112,7.166,7.166,67.38500000000001,-2.34,111.964,-226.865,10.948,-226.865,-231.24,22.064,179.349
034965,2022,,62.766,330.074,11.147,11.147,89.77,-2.45,134.324,-237.805,11.437,-237.805,-211.748,38.298,224.094
035004,2019,0,11.533,784.162,219.955,219.955,11.394,.33,90.121,21.639,0,21.639,68.158,30.291,101.515
035004,2020,0,7.905,680.961,66.98999999999999,66.98999999999999,92.16,-1.11,-.437,-57.994,0,-57.994,-21.756,17.632,91.723
035004,2021,0,20.473,820.877,103.603,103.603,16.138,1.1,145.079,50.283,0,50.283,122.604,30.539,161.217
035005,2019,.8090000000000001,1.596,1289.845,38.084,38.084,98.947,.09,523.711,25.305,0,25.305,29.145,120.435,622.658
035005,2020,.839,8.664,5297.993,79.97199999999999,79.97199999999999,792.112,2.25,1859.256,672.316,0,672.316,721.295,298.81,2651.368
035005,2021,-17.902,7.841,7551.318,132.59,132.59,1003.58,4.5,3096.284,1375.639,0,1375.639,1200.972,419.673,4099.864
